unique_id,osmid,element_type,addr:housenumber,addr:street,name,opening_hours,shop,wheelchair,geometry,created_by,addr:city,addr:postcode,opening_hours:covid19,phone,access:covid19,delivery:covid19,source,addr:country,note,survey:date,wheelchair:description,website,name:de,name:fr,payment:cash,payment:coins,payment:credit_cards,operator,amenity,level,takeaway,email,payment:debit_cards,id,lon,lat
node/3735083507,3735083507,node,,,Aimé Pouly,,bakery,,POINT (6.1424605 46.20983289999999),,,,,,,,,,,,,,,,,,,,,-1.0,yes,,,43,6.1424605,46.209832899999995
node/3735097195,3735097195,node,,,Pougnier,,bakery,limited,POINT (6.1427862 46.21072720000001),,,,,,,,,,,,,,,,,,,,,1.0,,,,44,6.1427862,46.21072720000001
node/3750859334,3750859334,node,9,Rond-Point de Plainpalais,Aux Merveilleux de Fred,"Mo-Sa 07:30-18:30, Th 07:30-19:30, Sa 08:00-18:30, Su off",bakery,limited,POINT (6.143366700000001 46.197525),,Genève,1205.0,,+41 22 436 80 60,,,,,,,,http://www.auxmerveilleux.com/,,,,,,,,,,contact@auxmerveilleux.ch,,45,6.1433667000000005,46.197525
node/3769728655,3769728655,node,,,,Opens Mon-Sat at 06.00,bakery,,POINT (6.1277246 46.22278060000001),,Genève,1209.0,,,,,,,,,,,,,,,,,,,,,,46,6.1277246,46.22278060000001
node/4025858152,4025858152,node,,,,,bakery,,POINT (6.1331102 46.2193859),,Genève,,,,,,,,,,,,,,,,,,,,,,,47,6.1331102,46.2193859
node/4069953373,4069953373,node,,,Rucksthul,,bakery,,POINT (6.1412662 46.21961870000001),,,,,,,,,,,,,,,,,,,,,,,,,48,6.1412662000000005,46.219618700000005
node/4222276770,4222276770,node,,,,,bakery,,POINT (6.136833 46.2101881),,,,,,,,,,,,,,,,,,,,,,,,,49,6.136833,46.210188099999996
node/4224270316,4224270316,node,,,,,bakery,,POINT (6.1232758 46.2240799),,,,,,,,,,,,,,,,,,,,,,,,,50,6.1232758,46.2240799
node/4230238931,4230238931,node,2,Chemin Docteur Adolphe-Pasteur,Boulangerie Eric Emery,"Mo-Fr 06:30-18:30, Su 06:30-13:00",bakery,,POINT (6.1294169 46.2208921),,Genève,1209.0,,,,,,,,,,https://www.eric-emery.ch,,,,,,,,,,,,51,6.1294169,46.2208921
node/4297395201,4297395201,node,2,Avenue des Communes-Réunies,Boulangerie,,bakery,,POINT (6.1201947 46.1828564),,,1212.0,,,,,,,,,,,,,,,,,,,,,,52,6.1201947,46.1828564
node/4337412742,4337412742,node,4,Rue de Lyon,Isid Oro,"Mo-Fr 11:00-14:30, 09:00-18:00",bakery,,POINT (6.1385779 46.20928720000001),,,,,,,,,,,,,,,,,,,,,,,,,53,6.1385779000000005,46.209287200000006
node/4351533780,4351533780,node,,,,Mo-Fr 06:00-17:00,bakery,,POINT (6.140232900000001 46.2098189),,,,,+41 22 734 05 25,,,,,,,,,,,,,,,,,,,,54,6.140232900000001,46.2098189
node/4358577791,4358577791,node,,,BISA,,bakery,,POINT (6.1301365 46.1853463),,,,,,,,,,,,,,,,,,,,,,,,,55,6.1301365,46.1853463
node/4358768892,4358768892,node,4,Rue Baylon,Roco Guerrazzi,,bakery,,POINT (6.1353949 46.1814096),,,1227.0,,+41223426060,,,,,,,,http://rocco-guerrazzi.ch,,,,,,,,,,,,56,6.1353949,46.1814096
node/4394631293,4394631293,node,,,Boulangerie Rostkalz Sarl,,bakery,,POINT (6.121116099999999 46.213686),,,,,,,,,,,,,,,,,,,,,,,,,57,6.121116099999999,46.213685999999996
node/4397585189,4397585189,node,4,Rue Caroline,Boulangerie Gillard,,bakery,,POINT (6.1384798 46.1921771),,,1227.0,,+41223426074,,,,,,,,,,,,,,,,,,,,58,6.1384798,46.1921771
node/4397710090,4397710090,node,154,Route de Thonon,BISA - Boulangerie Ondustrielle SA,,bakery,,POINT (6.2159065 46.24737529999999),,Vésenaz,1222.0,,+41228559700,,,,,,,,,,,,,,,,,,,,59,6.2159065,46.247375299999995
node/4402669092,4402669092,node,11,Chemin du 23-Août,Boulangerie Leonhard Bretzel Sarl,"Mo-Fr 06:30-17:00; Sa,Su 07:30-14:30",bakery,,POINT (6.1347117 46.2018761),,,1205.0,,,,,,,,,,,,,,,,,,,,,,60,6.1347116999999995,46.2018761
node/4407893106,4407893106,node,,,Tea-room Le Jardin,Tu-Su 08:00-20:00,bakery,,POINT (6.1142489 46.20505170000001),,,1203.0,,,,,,,,,,,,Tea-room Le Jardin,,,,,,,,,,61,6.1142489,46.205051700000006
node/4435910090,4435910090,node,49,Route des Jeunes,Europain - Lima Castro,,bakery,,POINT (6.130015599999999 46.1815409),,,1227.0,,+41763282269,,,,,,,,,,,,,,,,,,,,62,6.130015599999999,46.1815409
node/4534475292,4534475292,node,,,Tea Room Ph. Taillé,,bakery,,POINT (6.140116099999999 46.1806727),,,1227.0,,,,,,,,,,,,Tea Room Ph. Taillé,,,,,,,,,,63,6.140116099999999,46.1806727
node/4553758114,4553758114,node,,,Le Panetier,"Mo-Fr 06:00-19:00, Sa 06:30-18:30, Su 07:00-18:30",bakery,,POINT (6.1481113 46.23727279999999),,Geneva,,,,,,,,,,,,,,,,,,,,,,,64,6.1481113,46.23727279999999
node/4663104197,4663104197,node,3,Rue de la Confédération (les Rues Basses),Chocolaterie du Rhône,,bakery,,POINT (6.143964 46.20393679999999),,,,,,,,,,,,,,,Du Rhone Chocolatier,,,,,,,,,,65,6.1439639999999995,46.203936799999994
node/5163691225,5163691225,node,,,Berger de Faletans - chocolaterie pâtisserie,"Mo 7:30-15:00,Tu-Fr 7:30-18:00, Sa 7:30-17:00",bakery,,POINT (6.1420699 46.1957807),,,,,+41223291202,,,,,,,,http://www.berger-defaletans.ch,,,,,,,,,,,,66,6.1420699,46.1957807
node/5829106535,5829106535,node,,,La Couronne,Mo-Su 07:00-18:00,bakery,,POINT (6.223996499999999 46.26299479999999),,,,,+41227518214,,,,,,,,,,,,,,,,,,,,67,6.223996499999999,46.262994799999994
node/6048362707,6048362707,node,,,Ruckstuhl,Mo-Th 06:00-17:00; Fr 06:00-16:00,bakery,yes,POINT (6.0626801 46.2224574),,,,,,,,,,,,,,,,,,,,,,,,,68,6.0626801,46.222457399999996
node/6198307985,6198307985,node,65,Rue des Bains,Boulangerie des Bains,Mo-Fr 04:30-18:30; Sa 05:00-17:30,bakery,,POINT (6.137554799999999 46.20123570000001),,,1205.0,,+41 22 328 41 70,,,,,,,,https://www.boulangeriedesbains.ch/,,,,,,,,,,,,69,6.137554799999999,46.201235700000005
node/6443395187,6443395187,node,,,Boulangerie Patisserie,,bakery,,POINT (6.1377047 46.191841),,,,,,,,,,,,,,,,,,,,,,,,,70,6.1377047,46.191841
node/6799821852,6799821852,node,,,Pouly,,bakery,,POINT (6.1450347 46.2082074),,,,,,,,,,,,,,,,,,,,,,,,,71,6.1450347,46.2082074
node/6940436906,6940436906,node,,,,,bakery,,POINT (6.141259900000001 46.1849131),,,,,,,,,,,,,,,,,,,,,,,,,72,6.1412599000000005,46.1849131
node/6956877033,6956877033,node,4-6,Esplanade de Pont-Rouge,Pouly,Mo-Fr 06:00-17:00,bakery,,POINT (6.1261208 46.1872526),,Petit-Lancy,1212.0,,+41 22 346 43 66,,,,,,,,,,,yes,yes,yes,,,,,,yes,73,6.1261208,46.1872526
node/7077680148,7077680148,node,28,Rue Jean-Violette,Chez Boubou,Mo-Sa 06:30-19:00,bakery,,POINT (6.146252400000001 46.1937208),,Genève,1205.0,,,,,,,,,,,,,,,,,,,,,,74,6.146252400000001,46.1937208
node/7077741561,7077741561,node,4,avenue du Mail,Pouly,Mo-Su 06:00-14:00,bakery,,POINT (6.1395859 46.2000614),,,,,,,,,,,,,,,,,,,,,,,,,75,6.1395859,46.2000614
node/7077965451,7077965451,node,91,Rue de Carouge,Le Saint Honoré,Mo-Su 06:00-19:00,bakery,,POINT (6.1431963 46.188818),,Genève,1205.0,,+41 22 329 06 65,,,,,,,,,,,,,,,,,,,,76,6.1431963,46.188818
node/7090715293,7090715293,node,,,Cuppin’s,,bakery,,POINT (6.1574157 46.20089960000001),,,,,,,,,,,,,,,,,,,,,,,,,77,6.1574157,46.20089960000001
node/7090736787,7090736787,node,,,,,bakery,,POINT (6.144203099999999 46.2038657),,,,,,,,,,,,,,,,,,,,,,,,,78,6.1442030999999995,46.2038657
node/7090741286,7090741286,node,,,Pouly,,bakery,,POINT (6.1493982 46.19976279999999),,,,,,,,,,,,,,,,,,,,,,,,,79,6.1493982,46.199762799999995
