unique_id,osmid,element_type,amenity,name,wheelchair,geometry,addr:city,addr:country,addr:housenumber,addr:postcode,addr:street,cuisine,note,opening_hours,phone,website,created_by,capacity,delivery,takeaway,name:fr,description,outdoor_seating,reservation,brand,brand:wikidata,brand:wikipedia,email,name:en,internet_access,toilets:wheelchair,disused,contact:fax,contact:phone,contact:website,source,stars,tourism,wikidata,alt_name,smoking,contact:facebook,start_date,drive_in,contact:email,payment:coins,payment:mastercard,payment:notes,payment:visa,wheelchair:description,wheelchair:description:fr,name:de,designation,addr:housename,fax,level,payment:cash,check_date:opening_hours,diet:vegetarian,internet_access:fee,toilets,payment:bitcoin,payment:litecoin,opening_hours:signed,name:ko,survey:date,payment:credit_cards,payment:debit_cards,payment:maestro,payment:postfinance_card,bar,internet_access:ssid,facebook,opening_hours:url,diet:vegan,old_name,opening_hours:covid19,diet:meat,lgbt,contact:phone_1,country,name:it,contact:mobile,access:covid19,delivery:covid19,takeaway:covid19,brewery,drive_through:covid19,food,diet:organic,image,nodes,building,ele,min_age,building:levels,diet:gluten_free,diet:halal,diet:lactose_free,diet:mediterranean,id,lon,lat
node/840604891,840604891,node,restaurant,Auberge de Choully,,POINT (6.0286162 46.2233753),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,6.0286162,46.2233753
node/840642416,840642416,node,restaurant,Auberge Communale de Satigny,yes,POINT (6.0362068 46.2107437),Satigny,,4,,Chemin de Merdisel,,,"Apr-Oct: Mo-Sa 10:00-24:00; Apr-Oct Su,Ph 10:00-23:00; Nov-Mar Mo-Sa 11:00-14:30,17:00-24:00; Nov-Mar Su,Ph 11:00-23:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,6.0362068,46.2107437
node/840660145,840660145,node,restaurant,Domaine de Chateauvieux,,POINT (6.0386806 46.20152),Peney-Dessus,CH,16,1242,Chemin de Châteauvieux,,,,,,,,,,,,,,,,,,,wlan,,,+41 22 753 19 24,+41 22 753 15 11,http://www.chateauvieux.ch,website,4,hotel,Q89479537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,6.0386806,46.20152
node/855322908,855322908,node,restaurant,Le Corail Rose,,POINT (6.1417094 46.2115302),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,6.1417094,46.2115302
node/855322923,855322923,node,restaurant,Café de la Gare,,POINT (6.1420706 46.2111382),,,2,1201,Rue de Montbrillant,international,,,,http://www.montbrillant.ch/fr/restaurants.php,,,,,,,,,,,,,,,,,,,,Personal survey,,,,Hotel Montbrillant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,6.1420706,46.2111382
node/855322927,855322927,node,restaurant,Olio'Basilico,,POINT (6.1422116 46.2116106),,,,,,pizza;italian,,"Mo,We-Fr 10:00-14:30,17:30-24:00; Tu off; Sa 17:30-24:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,6.1422116,46.2116106
node/870005449,870005449,node,restaurant,Bar Restaurant l'Arté Café,,POINT (6.0717823 46.2281621),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,6.0717823,46.2281621
node/870487407,870487407,node,restaurant,Auberge Communale de Meyrin,,POINT (6.0733915 46.2310449),Meyrin,,13 bis,1217,Avenue de Vaudagne,suisse;chasse;brasserie;fish,,Tu-Sa 07:30-23:00; Su 09:00-18:00,+41 22 782 44 78,https://www.auberge-meyrin.ch,,,,no,,"L'auberge communale se situe dans le village de Meyrin, à proximité de l'aéroport international de Genève-Cointrin et du CERN.",yes,,,,,ch.hegi@gmail.com,,,,,,,,https://www.geneveterroir.ch/fr/auberge-communale-de-meyrin/3030,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,6.0733915,46.2310449
node/870490712,870490712,node,restaurant,Pizzeria de La Place,,POINT (6.0717255 46.229101),Meyrin,,286,1217,Route de Meyrin,italian,,,+41 22 782 66 08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,6.0717255,46.229101
node/897047042,897047042,node,restaurant,Le Point du Jour,,POINT (6.1292012 46.2205873),Genève,,,1209,Rue de Moillebeau,italian,,,,,,50,no,no,,,,,,,,,,,,,,,,,,,,,outside,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,6.1292012,46.2205873
node/897047059,897047059,node,restaurant,Café du Soleil,no,POINT (6.1276715 46.2232352),Genève,,,1209,Chemin des Crêts,swiss,,until 22.00,+41 22 733 34 17,,,100,no,no,,,,,,,,,,,,,,,,,,,,,outside,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,6.1276715,46.2232352
node/897590854,897590854,node,restaurant,Pizzeria les Tilleuls,,POINT (6.1311533 46.2058099),Genève,,,,,italian,,"Mo-Sa 11:45-14:30,18:45-24:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,6.1311533,46.2058099
node/903637381,903637381,node,restaurant,Le Petit Océan,yes,POINT (6.1221791 46.2255674),,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,6.1221791,46.2255674
node/929127624,929127624,node,restaurant,La Romana,,POINT (6.1376074 46.2190855),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,6.1376074,46.2190855
node/952150935,952150935,node,restaurant,La Belotte,,POINT (6.192174 46.2357301),Vésenaz,,11,,Chemin des Pêcheurs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,6.192174,46.2357301
node/966027829,966027829,node,restaurant,Café de la Tour,,POINT (6.1223793 46.1996698),Petit-Lancy,,32,,Chemin de la Bâtie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,6.1223793,46.1996698
node/994392629,994392629,node,restaurant,Age d'Or,,POINT (6.1422552 46.2080041),,,,,,pizza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,6.1422552,46.2080041
node/1015581939,1015581939,node,restaurant,Le Nant d'Avril,,POINT (6.0595092 46.2250434),,,107,,Route du Nant d'Avril,,,,+41 22 782 98 22,http://www.grill-house.ch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,6.0595092,46.2250434
node/1078650659,1078650659,node,restaurant,Brasserie Lipp,,POINT (6.1449351 46.2032464),Genève,CH,8,1204,Rue de la Confédération (les Rues Basses),french;seafood,,Mo-Sa 07:00-02:00; Su 09:00-02:00,+41 22 318 80 30,,,,,,,,,,,,,,,wlan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,6.1449351,46.2032464
node/1078782803,1078782803,node,restaurant,Gilles Desplanches,,POINT (6.1433446 46.2037481),Genève,CH,2,1204,Rue de la Confédération,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,6.1433446,46.2037481
node/1105370307,1105370307,node,restaurant,rooftop°42,,POINT (6.1470323 46.2041891),Genève,CH,42,1204,Rue du Rhône,,,Tu-Sa 10:00-02:00,+41 22 346 77 00,https://www.rooftop42.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,6.1470323,46.2041891
node/1168522645,1168522645,node,restaurant,Café de Paris,,POINT (6.143795 46.2092074),Genève,,26,1201,Rue du Mont-Blanc,steak_house,,Mo-Su 11:00-23:00,+41 22 732 84 50,http://www.cafe-de-paris.ch,,,no,no,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58,6.143795,46.2092074
node/1168522655,1168522655,node,restaurant,Bombay,,POINT (6.1447821 46.2092654),,,,,,indian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,6.1447821,46.2092654
node/1170039587,1170039587,node,restaurant,Al Amir,,POINT (6.1444762 46.2092532),Genève,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,6.1444762,46.2092532
node/1170039591,1170039591,node,restaurant,Hungky,,POINT (6.1443707 46.2091661),Genève,,,1201,Rue Chaponnière,chinese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,6.1443707,46.2091661
node/1170039598,1170039598,node,restaurant,Mektoub,,POINT (6.1445651 46.2093398),Genève,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62,6.1445651,46.2093398
node/1170039627,1170039627,node,restaurant,Le Basilic,,POINT (6.144684 46.2094391),Genève,,,,,chinese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63,6.144684,46.2094391
node/1170039629,1170039629,node,restaurant,Jardin de Bonheur,,POINT (6.1436703 46.2097744),,,,,,japanese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,6.1436703,46.2097744
node/1246099025,1246099025,node,restaurant,La Romandine,,POINT (6.1485222 46.2022402),Genève,CH,8,1204,Rue de la Madeleine,,,,+41 22 810 84 89,http://romandine.ch,,,,,La Romandine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,6.1485222,46.2022402
node/1250009274,1250009274,node,restaurant,Brasserie Lamartine,,POINT (6.128443 46.211385),Genève,CH,2,1203,Avenue Frédéric-Soret,,,,+41 22 345 90 91,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66,6.128443,46.211385
node/1282981554,1282981554,node,restaurant,Le Baroque,,POINT (6.147799 46.2040198),Genève,CH,56,1204,Rue du Rhône,,,"Su 10:00-10:00, 22:00-22:00; Mo 19:00-20:00; Tu 19:00-20:00, 23:00-00:00; We 12:00-13:00, 20:00-00:00; Th 19:00-02:00; Fr 20:00-02:00; Sa 19:00-02:00",+41 22 310 39 90,,,,,,,,,,,,,,,wlan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67,6.147799,46.2040198
node/1286683101,1286683101,node,restaurant,Au p'tit Vaudois,,POINT (6.142104 46.1962106),,,,,,regional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68,6.142104,46.1962106
node/1286683106,1286683106,node,restaurant,La Baguette d'Or,,POINT (6.1420715 46.1958691),,,,,,chinese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69,6.1420715,46.1958691
node/1286683107,1286683107,node,restaurant,Oxygen,,POINT (6.1421455 46.1966911),,,9,1205,Avenue Henri-Dunant,,,Mo-Fr 12:00-01:00; Sa-Su 18:00-01:00,,https://tartaresandco.ch/,,,,,Tartares & co,,,,,,,,Tartares and co,wlan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,6.1421455,46.1966911
